order_year,order_month,order_month_name,sales,profit,orders,profit_margin,period
2014,1,Jan,6417.102,1322.8411999999998,32,20.61,Jan 2014
2014,2,Feb,1860.7359999999999,547.6046,28,29.43,Feb 2014
2014,3,Mar,19023.95,1212.3814,71,6.37,Mar 2014
2014,4,Apr,12415.656,1897.6388,66,15.28,Apr 2014
2014,5,May,15939.349,2116.0751,69,13.28,May 2014
2014,6,Jun,13837.698,2724.474,66,19.69,Jun 2014
2014,7,Jul,13562.944,-2199.3749,65,-16.22,Jul 2014
2014,8,Aug,14667.032000000001,2388.8566,72,16.29,Aug 2014
2014,9,Sep,26681.761,1695.0435,130,6.35,Sep 2014
2014,10,Oct,13501.259,639.9629000000001,78,4.74,Oct 2014
2014,11,Nov,33182.735,3259.4889,151,9.82,Nov 2014
2014,12,Dec,36905.774,5201.9446,141,14.1,Dec 2014
2015,1,Jan,10876.268,-1962.9362,29,-18.05,Jan 2015
2015,2,Feb,7178.193,2222.1196,36,30.96,Feb 2015
2015,3,Mar,16185.652,2974.7642,79,18.38,Mar 2015
2015,4,Apr,13873.6365,55.67539999999994,72,0.4,Apr 2015
2015,5,May,14107.2525,1861.2597,74,13.19,May 2015
2015,6,Jun,13281.756,2251.5108,68,16.95,Jun 2015
2015,7,Jul,11818.287,1202.4416,66,10.17,Jul 2015
2015,8,Aug,18997.201,3848.456,68,20.26,Aug 2015
2015,9,Sep,27161.584,1939.642,140,7.14,Sep 2015
2015,10,Oct,16833.9855,1623.8108,87,9.65,Oct 2015
2015,11,Nov,39154.5315,5852.1365000000005,158,14.95,Nov 2015
2015,12,Dec,32410.577,2675.5333,161,8.26,Dec 2015
2016,1,Jan,10871.001,2365.2036,48,21.76,Jan 2016
2016,2,Feb,17602.606,4087.5706000000005,45,23.22,Feb 2016
2016,3,Mar,19516.761,-227.80620000000005,86,-1.17,Mar 2016
2016,4,Apr,26868.998,4884.4514,89,18.18,Apr 2016
2016,5,May,35449.818,5020.636799999999,108,14.16,May 2016
2016,6,Jun,24496.227,2794.6698,97,11.41,Jun 2016
2016,7,Jul,16087.58,1978.8554,96,12.3,Jul 2016
2016,8,Aug,14750.2645,356.85150000000004,90,2.42,Aug 2016
2016,9,Sep,30724.1703,2873.9932,192,9.35,Sep 2016
2016,10,Oct,19639.751,879.1301000000001,105,4.48,Oct 2016
2016,11,Nov,38113.41,4449.1299,183,11.67,Nov 2016
2016,12,Dec,58606.279,12992.857,176,22.17,Dec 2016
2017,1,Jan,22749.976,4728.5683,69,20.78,Jan 2017
2017,2,Feb,9769.5884,374.47460000000007,53,3.83,Feb 2017
2017,3,Mar,20081.9918,2952.4944,118,14.7,Mar 2017
2017,4,Apr,17424.475,1700.1245,116,9.76,Apr 2017
2017,5,May,20244.3764,3373.4210000000003,118,16.66,May 2017
2017,6,Jun,32929.0865,5643.9232,133,17.14,Jun 2017
2017,7,Jul,18629.0,3221.404,111,17.29,Jul 2017
2017,8,Aug,32833.176,3519.0427,111,10.72,Aug 2017
2017,9,Sep,36546.915,5021.9393,226,13.74,Sep 2017
2017,10,Oct,38363.974,5211.5555,147,13.58,Oct 2017
2017,11,Nov,62912.309799999995,6645.2955999999995,261,10.56,Nov 2017
2017,12,Dec,44775.418,2316.6065,224,5.17,Dec 2017
