product_name,sales,profit,orders,product_short
Canon imageCLASS 2200 Advanced Copier,30099.914,10079.9712,3,Canon imageCLASS 2200 Advanced...
GBC Ibimaster 500 Manual ProClick Binding System,16437.167999999998,1217.5679999999998,7,GBC Ibimaster 500 Manual ProCl...
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",15749.91,5039.9712,2,HP Designjet T520 Inkjet Large...
HON 5400 Series Task Chairs for Big and Tall,15631.854000000001,490.6860000000001,5,HON 5400 Series Task Chairs fo...
GBC DocuBind P400 Electric Binding System,9254.732,-2504.2216000000003,3,GBC DocuBind P400 Electric Bin...
Global Troy Executive Leather Low-Back Tilter,9117.836,475.93100000000004,6,Global Troy Executive Leather ...
"3D Systems Cube Printer, 2nd Generation, Magenta",9099.93,2365.9818,1,"3D Systems Cube Printer, 2nd G..."
Samsung Galaxy Mega 6.3,9071.784,680.3838000000001,3,Samsung Galaxy Mega 6.3...
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",8985.996,-510.9684000000002,3,Riverside Palais Royal Lawyers...
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,8642.732,2287.782,5,Fellowes PB500 Electric Punch ...
